Site;Layer LTE;LTE detail;CelleLTE_Configurate;Admnistrative_State;Baseband 5216;Baseband 6620;Baseband 6630;Baseband R503;Presenza Baseband;DUS3101;DUS3102;DUS4101;DUS4102;Presenza DUS;#Radio;#RRU;#RU;BB/DU Presenti;0
AGE1;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL01;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL02;3;L8L18L26;9;9;;;;;;;;1;1;#1 DUS4101 #1 DUS4102;;12;;DUS41;
AL03;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL04;4;L8L18L21L26;12;12;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;6;9;;BB5216+R503;
AL05;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL06;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
AL07;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
AL08;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL09;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
AL0A;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;6;;12;BB6630;
AL0B;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
AL0C;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL0D;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL0E;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL0F;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;6;;BB6630;
AL10;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
AL11;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL12;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
AL13;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL14;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
AL15;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;9;;BB6630;
AL16;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL17;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
AL18;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;6;9;;BB6630;
AL19;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL1A;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;;;12;BB6630;
AL1C;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
AL1E;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL1F;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL20;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
AL21;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL23;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;8;;DUS41;
AL24;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;6;;BB6630;
AL25;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AL26;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL27;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;9;;BB6630;
AL28;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
AL29;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL2A;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;;;18;BB6630;
AL2B;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL2D;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL2F;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL30;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL31;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AL32;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AL33;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AL35;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;;;4;BB6630;
AL36;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL37;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
AL39;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL3A;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
AL3B;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL3C;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
AL3D;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL3E;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL3F;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL40;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL41;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL42;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
AL43;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
AL47;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL48;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL49;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL4A;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL4B;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL4C;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL4D;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL4E;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL50;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;;9;;DUS41;
AL51;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL53;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL54;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL55;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL57;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL58;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
AL5A;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
AL5B;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL5C;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL5D;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
